character,line
Astarion,Let's get you up.
Astarion,"But if I finish the ritual you started, I'll never have to fear anyone, ever."
Astarion,I am so much more than what you made me.
Astarion,I need your eyes. In a manner of speaking.
Astarion,"Use the parasite - link your mind to mine. Through your eyes, I can see the scars on my back and copy them onto his."
Astarion,"Yes. Yes, I see it!"
Astarion,There. Perfect.
Astarion,Time to take your place.
Astarion,Ecce dominus!
Astarion,Has animas offero in sacrificio...
Astarion,Nunc volo potestatem quam pollicitus es mihi...
Astarion,"I... I can't feel it. That ache in my stomach, that hunger - it's gone."
Astarion,"Come on, let's get out of here. I have a brand new world to explore."
Astarion,[Panting]
Astarion,"Yes, it's over. You can do whatever you want."
Astarion,"As for those wretches in the cells - if I don't get my freedom, neither do they."
Astarion,It's over. I'm done with this and I'm done with you.
Astarion,"I would say good luck out there, but honestly? I hope you die screaming."
Astarion,One last thrust and I'll be free of you. I'll never have to fear you again.
Astarion,I'm not the one in the dirt.
Astarion,Doors can be unsealed. Do you have the key?
Astarion,"Things have changed, Godey. We might surprise you."
Astarion,I don't even know what this prison is. He hid all of this from me and the others.
Astarion,"If I had to guess, I'd say they're part of his ritual. But where in the hells did they come from?"
Astarion,I'm just surprised to see such wretched-looking specimens - Cazador had a more refined palate than this.
Astarion,It's taking everything I have not to grind your rotten carcass to dust.
Astarion,You tortured us. For days at a time.
Astarion,"We're here to see the master, but the ballroom door's locked. Give us the key."
Astarion,I was hoping you'd say that. Taking it from the ruins of your corpse will be more satisfying anyway.
Astarion,Isn't it obvious? I'm going to kill Cazador.
Astarion,"You might have made me what I am, but I can be so much more than what you created me to be."
Astarion,I've come home to rejoin the family.
Astarion,But master called me home! I have to get to him!
Astarion,The ballroom door's locked and I need the key.
Astarion,I'm looking for Cazador. Where is he?
Astarion,How about I start breaking bones and keep going until I find that key?
Astarion,"I do want to hurt you, if that's what you mean."
Astarion,Isn't it obvious? I'm here to kill Cazador.
Astarion,"I know you're there, Godey. Stop skulking and show yourself."
Astarion,Doors can be unsealed. Just give us the key and we'll show ourselves in.
Astarion,He needs me to complete the ritual. He'll be furious if you stop me from joining him.
Astarion,I have no idea what these wretches are doing here. 'The Master' had a more refined palate than this.
Astarion,But I am grateful for one thing. You showed me how to really savour moments like this.
Astarion,It means you have a choice. 
Astarion,I... I think we're done here.
Astarion,Let's hope for gold.
Astarion,Let's go.
Astarion,Don't mind me. I'm just enjoying the show.
Astarion,You're right.
Astarion,"I am done picking up after Cazador. I wash my hands of all of this. This place, this ritual, these people."
Astarion,"You can stay if you want, but I have a life and I intend to live it."
Astarion,Come on. Let's go.
Astarion,"Your choices are simple, really."
Astarion,It will become everyone's business if you try to feast on half the city. This is just a friendly warning.
Astarion,"And I want to live a full life! Not some half existence, hiding in the shadows for the rest of eternity."
Astarion,"I'm not him, and I will not become him."
Astarion,Please! I can't do this alone.
Astarion,Unmaking what you made me.
Astarion,Help me do this. Please.
Astarion,I can feel it! I CAN FEEL THEIR POWER FLOWING INTO ME!
Astarion,"Now we deal with the elder brain. I no longer require its parasite, so we can end this once and for all."
Astarion,What's in here?
Astarion,"I don't like it, but you're right. Putting them to rest may be the kindest thing we can do."
Astarion,"Follow the tunnels to the Underdark. You'll be... well, not 'safe' there, but in less peril. "
Astarion,A quick rummage.
Astarion,"You can hide here, living in the shadows like parasites, or you can be more than what he made us to be."
Astarion,The poor wretches in the cells are innocent. They shouldn't have to suffer just because I lured them here.
Astarion,"They'll need someone to lead them. Take the tunnels into the Underdark, find somewhere... well, not safe, but less perilous?"
Astarion,Just try to keep them out of trouble.
Astarion,It's over. It's finally over.
Astarion,"No, no. No healing sleep for you. Wake up!"
Astarion,What are you waiting for? Help me!
Astarion,"I can do this, but I need your help."
Astarion,Yes. He's gone.
Astarion,"These people died years ago, trust me on that. All that's left are feral spawn, desperate for blood."
Astarion,"But if they die and I ascend, I won't have to rely on the parasite to walk in the sun. I'll be free - truly, completely free. Isn't that what you want?"
Astarion,You - you're right. I can be better than him.
Astarion,But I'm not above enjoying this.
Astarion,"'You can do whatever you want' sounds terrifying - and it is - but there's opportunity in it, too."
Astarion,"You can choose differently, of course, but the consequences are on your head."
Astarion,"Now that's a better question. Seven thousand spawn, from ancient conquests to stolen children..."
Astarion,"We're not like those wretches, brother. We've spent lifetimes controlling our hunger - they're all but feral."
Astarion,"I don't relish it any more than you do, but putting them to rest may be the kindest thing we can do."
Astarion,"If we release them, how many people will they kill? Tens of thousands? Hundreds of thousands?"
Astarion,"Hardly. Cazador didn't keep me in luxury, but I've never seen anything like this."
Astarion,I know so many of these faces.
Astarion,You don't understand - it's not just him.
Astarion,"Funny, but unbecoming."
Astarion,I hope you're not here to beg. It's so unbecoming. 
Astarion,"Still, I would've liked more for my trouble than a pat on the head and vinegar for wine."
Astarion,True. That was fun.
Astarion,"Enjoy myself? There's a worm in my brain, I'm surrounded by idiots, and all I've got to drink is wine that tastes like vinegar."
Astarion,That means I have to survive tonight. And this party.
Astarion,"Enjoy myself? There's a worm in my brain, hunters on my trail, and all I've got to drink is wine that tastes like vinegar."
Astarion,All I want is a little fun. Is that so much to ask?
Astarion,See what I mean? Awful.
Astarion,"That's a 'no' to fun, then?"
Astarion,Cheeky. I'll see you then.
Astarion,Will you now? Don't take too long. You're not the only tasty morsel here.
Astarion,Fine. Enjoy your night with whatever beast will have you.
Astarion,I remember you.
Astarion,How are you still alive?
Astarion,That scar on your face - it must bind you to Cazador's Black Mass.
Astarion,That scar on your face - what does it mean?
Astarion,"You're eager, aren't you? But we need to wait a little longer."
Astarion,"Once everyone's in their bedrolls, we'll slip out of ours and find each other."
Astarion,Do you mind? I'm very busy.
Astarion,"Are you now? Well, lucky him."
Astarion,I don't know. I'm sure a vampire spawn could still rip your throat out if he felt like it.
Astarion,We've all survived so far. Let's focus on that.
Astarion,Indeed it is. We should do something about this threat.
Astarion,"These days, I'm making the impossible look easy."
Astarion,May I?
Astarion,Wait - that's it? We're just walking away?
Astarion,Don't you think we should do something about the... vampire issue?
Astarion,"Fine. But if this comes back to bite us, it's on your head."
Astarion,Sebastian.
Astarion,They'd better bloody not.
Astarion,You idiot. What have you done?
Astarion,You treacherous little worm!
Astarion,"Something terrifying, no doubt. Dragon? Cyclops? Kobold?"
Astarion,What in the Hells are you planning to do?
Astarion,This is nicely barbaric and vulgar.<br>
Astarion,"If you're looking for another shot, I'm afraid you've missed it."
Astarion,Having fun yet?
Astarion,Thank you so much for telling me. Now please do piss off.
Astarion,Excellent.
Astarion,The scar on your face - it must bind you to Cazador's Black Mass. I need to kill him.
Astarion,I'm here to stop the Black Mass - to kill Cazador.
Astarion,You should be dead. Why didn't Cazador feed on you?
Astarion,"They could be sacrifices for the Black Mass, but where did he get them all?"
Astarion,But who knows? Maybe the old man's tastes've changed since I left.
Astarion,You - no. You're dead.
Astarion,You were handsome. Shy. You'd never been kissed.
Astarion,It can't be -
Astarion,So Cazador marked them too - bound us all to his ritual.
Astarion,"Gods, I know so many of these faces."
Astarion,Then they're bound to the Black Mass too. Bound through the scars. And through me.
Astarion,How did they get here? What is Cazador doing with them? My brethren spoke nothing of this...
Astarion,I know these faces - every one that shares my scar.
Astarion,"They're my conquests. I pursued them, seduced them, then brought them to Cazador. He told us he was feeding on them. "
Astarion,But he turned them to spawn. He turned every last one so he'd have souls for this cursed ritual.
Astarion,One hundred and seventy years. You were one of my first.
Astarion,That's why we're here - to destroy Cazador.
Astarion,"I promise you, I know that feeling all too well. But it can be done."
Astarion,Trust me when I say I know the feeling. But you can resist the urge.
Astarion,We'll be back. You have my word.
Astarion,Don't. Not now.
Astarion,It's not just him - I know so many of these faces.
Astarion,I think the answer to that is 'whatever they damn well please'.
Astarion,How did they get here? What is Cazador doing with them? I should have guessed there was more to it than Raphael would ever have told.
Astarion,"I can put this right, I swear. I can kill Cazador and free us all."
Astarion,I'm so sorry.
Astarion,One hundred and seventy years. You were one of my first too.
Astarion,"I can fix this. When I kill Cazador, you'll be free."
Astarion,I've done the impossible before.
Astarion,"Tell me where he is, and I swear I'll end him."
Astarion,"When he's dead, you'll be mine to command."
Astarion,I truly wanted you - Cazador forced me to harm you. I'll kill him.
Astarion,"Well, at least you only had the best."
Astarion,Oh they're disgusting. Cazador never fed on wretches like this.
Astarion,There were so many of you - I can't remember them all.
Astarion,Read his thoughts.
Astarion,Try to remember his name.
Astarion,You're mistaken. I have no idea who you are.
Astarion,Who are these wretches?
Astarion,I... I recognise that voice. You were in the Blushing Mermaid.
Astarion,That scar - Cazador did that to you? He bound you to the Black Mass?
Astarion,That scar - Cazador did that to you? What does it mean?
Astarion,"I can put this right, I swear. I'm here to stop the Black Mass - to kill Cazador."
Astarion,I don't remember. I'm sorry.
Astarion,"Oh don't worry, darling. I won't bite unless you ask very, very nicely."
Astarion,What are you doing? No - stop!
Astarion,It's - it's gone. All that power.
Astarion,"It's easy for some, of course. You and Wyll seem to be getting on very well."
Astarion,I wonder if he uses magic in the bedroom? That could go very well or very badly.
Astarion,"It's easy for some, of course. You and Gale seem to be getting on very well."
Astarion,"Not what I'd call 'passionate', or 'interesting', but sweet."
Astarion,It's easy for some. You and Shadowheart seem to have a connection. It looks very sweet.
Astarion,"Ha! No, I've seen enough blades in my time."
Astarion,Ha! No. If he had an incubus instead of that cambion? That might be a different story.
Astarion,"Ha! No, my love, I'm not jealous of the tiefling."
